Number of hit	Text ID	Concordance line
492	2	üç kızına emanet etti . Erikhthonios büyünce çok akıllı bir insan oldu ve Atina krallığını ele geçirdi . Erinona : Namus
493	2	vicdan azbını getirirlerdi . Fraude : Hile tanrıçası . Yarı insan yarı yılandı . Furina : Hırsızların tanrısı . Furrına :
494	2	küçük ordularını Athena idare etmişti . Bu yüzden bir avuç insan , barnarların çok kalabalık ordusuna karşı büyük bir zafer kazanmıştı
495	2	Asklepios oldu . Asklepios hekimliği Khrion adlı Kentauros ( Yarı insan yarı at ) bir bilginden öğrendi . Khrion ona hastaları
496	2	, suları birer tanrı saydılar . Onlara kendi kafalarında birer insan şekli verdiler . Eski Yunanlılar , yeryüzünün yepyeni olduğu ,
497	2	doğrultusunda yönlendiririz . Bunun adı bilimdir ve mühendisliktir . İnsanın insan olma sürecinde doğaya hükmettiği ve doğadan öğrendikleri ile doğal felaketlerin
498	2	kütlesi yatağına sığmayınca çevresinde ne gördüyse alıp götürdü . Fakat insan elinin değmediği yerlerde toprak suya doymuş fazlası taban suyuna katılmış
499	2	aynı zamanda görebilen insanımız da var . Gazeteler , Türkiye'nin insan kaynakları ve gelişimi yönünden dünyada 85'ci sırada olduğumuzu belirtiyor .
500	2	gündeme gelen İrlanda ve Güney Kore modelleri açık olarak yetişmiş insan gücünü hedeflemiş ve kısa sürede ülkelerin refah düzeyinin yukarıya çıktığı
501	2	afetleri yanında , sosyal sorunlarının büyük çoğunluğunun altında yatan yetişmiş insan gücünün yetersizliğinin yanı sıra , doğru düşünme yeteneğinden yoksun olduğumuz
502	2	beş kişi ölüyor bizde 5 bin kişi . İşte size insan kaynaklarının önemi , işte eğitim ve işte düşünme yeteneğinin yaraları
503	2	, daha az insanlar doktora gitmez mi , daha az insan cezaevine girmez mi ve daha az toplumsal sorun yaşanmaz mı
504	2	. Deukalion ve karısı daha sonra adalet tanrıçasının yanına gidip insan soyunun tekrar yaratılması için yardım istediler . Adalet tanrıçası onlara
505	2	fırlattı taşları , onun fırlattıkları da kadına dönüştüler . Böylelikle insan soyu yeniden başlatılmış oldu . Çok eski zamanlarda , bugün
506	2	şiddetteki depremlerin tahribatının minimum düzeye indirebildiğini belirtmektedirler . Bu da insan faktörü tarafından sağlanabilir . Maalesef , bu depremlerde gördüğümüz gerçek
507	2	zorundayız . Bu anlamda ülkemiz üniversitelerinde eksikliği sık sık vurgulanan insan kaynakları derslerine önem vermeliyiz . Nihayet her şey insan için
508	2	vurgulanan insan kaynakları derslerine önem vermeliyiz . Nihayet her şey insan için ise bütün işlevlerde insanı ve doğayı ön plana almak
509	2	tarihi ile birlikte işlenerek geçmişten günümüze yapılan bütün gelişmeler ve insan birikimi işlenmelidir . Neye Yatırım Yapacağız ? İnsana mı Yoksa
510	2	onları şımartınca Zeus o zamana kadar yalnız erkeklerden ibaret olan insan topluluğuna ceza vermek istedi ve onlara kadını gönderdi . Zeus
511	2	adındaki bir Satiros ( Keçi ayaklı , sivri kulaklı yarı insan yarı hayvan yaratıklar ) bir gün kırlarda dolaşırken Athena'nın icat
512	2	bir Tanrılar ve Tanrıçalar Cumhuriyeti kurulmuştu . Eski Yunanlıların Tanrıları insan biçimindeydiler . Yalnız onların insanlardan daha kuvvetli , daha büyük
513	2	tavusun kibrini , tilkinin kurnazlığını tavşan'ın ürkekliğini kattı . Fakat insan çıplaktı , kendisini koruyacak hiç bir şeye sahip değildi .
514	2	, üzüntüleri , ve bitmek bilmeyen ihtiyaçları başlıyordu . İlk insan çiğ meyvalarla , kanlı etlerle beslenip , elbise yerine bitkilerin
515	2	yönü eserin bütün parçalarında ayrı ayrı göze çarpan çekicilikten çok insan sesinin işlenişindeki üstünlükte kendini göstermiştir . Eserlerinde o zamana kadar
516	2	, iyi ve kötü gibi . Maskeli Balo operasında , insan sesinin değerlendirdiği her melodi , artistin gururunu okşayacak türde bir
517	2	gururunu okşayacak türde bir melodi olmaktan çok uzaktır . Burada insan sesi , müziği sadece duygunun dile getiriliş şekli olmuştur .
518	2	ülkelerin sanayii ve sermaye anlayışları ile yerküreye verdikleri zararı ve insan haklarına getirdikleri sınırlamaları protesto ettikleri bir gösteride , inanılması zor
519	2	mesaj 26.5.1999 tarihinde gönderilir . Mesajı gönderen kişi ( Bir insan ) rumuzunu kullanır . Diğer internet kullanıcıları da sayfaya gönderilen
520	2	kadar kolay ulaşımın getirdiği sonuç ile ; bu sayfaya Bir insan rumuzu ile yazı gönderen kişinin görüşlerini savunmak müvekkil sanığa düşmektedir
521	2	alanında super meydan bölümünde tartışma genel başlığı altında foruma bir insan rumuzu ile Türkiye'de İnsan Hakları İhlalleri başlıklı sekiz bölümden oluşan
522	2	Ankara ayağı bir kalabalıklaştı . Hemen her üniversiteden onbeş civarı insan gelerek dergiye katıldı , yazdı , çizdi , takıldı .
523	2	cümlecikler anlayana kim olduğumuzu hemen gösteriyor zaten ... Sokak modern insan için korkulan , karanlıkta kaçılan , üstüne çamur sıçratan bir
524	2	de bir kaç arkadaşın katıldığı ortamlar . Ancak Ossi , insan olarak da , eylemleriyle de pek çok sevdiğimiz bir insandı
525	2	üzere bir çok yerde tartışmaya açıldı . Ve bir çok insan ayrı yönlerini değerlendirdi . Tüm bu söylenenlerden sonra görülebiliyor ki
526	2	Ülke , vicdani kanaati gereği , eline silah alamayacağını , insan öldüremeyeceğini söylüyor . Herkes yapmamalı demiyorum , ben yapmak istemiyorum
527	2	mahkum ediyor . Ve şimdi de çeşitli mesleklerden 16 tanınmış insan gene bu maddeden yargılanıyoruz . 155. maddenin Avrupa İnsan Hakları
528	2	kapatan oğlu oldu . 20 Kasım 1997 sibel kış tedirgin insan halleri Sevgilerimiz : geçmiş , şimdiki ve gelecek ( gelmeyecek
529	2	! ... Vapur geldi . Belki . O çıkar şu insan selinin içinden . Çıksın mı ? ... Izmir'desin . Dostlarla
530	2	kadar değişmesine şaşırıyorum . Bir günde kaç değişik duygu yaşıyor insan ? Bazen delireceğimi sanıyorum . Duygu değişimini farketmekten . Akıl
531	2	sanıyorum . Duygu değişimini farketmekten . Akıl - sır ermiyor insan psikolojisine . Akla ters bir şey psikoloji . Akılla anlaşılacak
532	2	izin veriyor . Kendi içinde dolaşınca , dışarıya çıkmakta zorlanıyor insan . Dışarıyla uğraşmak , kendinle uğraşmaktan daha kolay . Kent
533	2	kentte kalmamalı . Başka kentlere , başka tozlara yelken açmalı insan . Karışmayı , karıştırmayı göze almalı . Tozlar yanıltıyor ,
534	2	tüketilen sıvı yağlar , süt , tereyağı , et ve insan dokuları gibi yağlı maddelerde birikir , yoğunlaşır . En yüksek
535	2	yer alan kutup ayısı , dişli balina , fok ve insan gibi avcı hayvanlarda rastlanmaktadır . Bunun nedeni , KOKlar'ın bir
536	2	önlenmesi . Bu koşul , kimya endüstrisine artık çevre ve insan sağlığını büyük ölçekli bir laboratuvar olarak kullanamayacağı yönünde açık bir
537	2	izbırakmazdır da gölgesizdir de ve her çocuk çocuktur da her insan insan unutması ve çıldırması da alınabilir ellerinden ve alınmıştır da
538	2	da gölgesizdir de ve her çocuk çocuktur da her insan insan unutması ve çıldırması da alınabilir ellerinden ve alınmıştır da .
539	2	ve çıldırması da alınabilir ellerinden ve alınmıştır da . ve insan unutmasıyla çocuktur küskünlüğüyle insan sözün tükendiği yerdedir de ve söz
540	2	ellerinden ve alınmıştır da . ve insan unutmasıyla çocuktur küskünlüğüyle insan sözün tükendiği yerdedir de ve söz tükenmiştir de ve son
541	2	esastır . Ancak ne olursa olsun bonsai doğal görünmeli , insan eli değdiği belli edilmemelidir . Ağaç ve saksısı şekil ,
542	2	Buyrun . Ne demiş O'Neill ? Amaaan , demiş ya insan ulaşılmaz olanın peşinde koşuyormuş da böyle insanlar trajikmiş , ama
543	2	Öyle demiş . Evet ? İyi demiş demesine de , insan ulaşılmazın peşinde niye koşar ki durmadan ? Koşmasın efendim .
544	2	ettiğinin , dolayısıyla ulaşılamaz olanı elde edemediğinin farkında olmaz mı insan ? diye sordum onu köşeye kıstırdığıma inanarak . Farkında olmayabilir
545	2	, bir tulum peyniri kafalıya . İyi de aslanım , insan ulaşılmazın peşinde koşturursa keşifler yapar , bedelini de öder evet
546	2	ulaşılmaz olanın peşinde koşturmadığını bir şekilde ve mutlaka anlamaz mı insan ? İkarus bilse , daha mı iyi olurdu ? Sisyphus
547	2	. Babacığım , iyi diyorsunuz , hoş diyorsunuz da , insan ulaştığı neyse erişilmez olduğunu da anlayabilir , ya da anlamak
548	2	etmenin alemi ne yani ? Burada ulaşılmazın peşinde koşan onlarca insan var . Onlara , siz salaksınız , ulaşılmazın peşinde koşuyorsunuz
549	2	derste anlatınca ahkam gibi geliyor , yumruk yemiş gibi oluyor insan alnının orta yerine , doğruya doğru , ben hiçbir derste
550	2	ne olduğunu sordu . Hızla ona döndüm . Böylesi bir insan kaderi karşısında bir hayvanı sorması benim için anlaşılmazdı . Arkadaşımın
551	2	ve çalıp durduğunuz düdüklerle ; hizaya getiremeyeceğiniz ne bir tek insan yavrusu , ne bir tek ada ( ya da ada
552	2	, ne bir tek ada ( ya da ada dolusu insan yavrusu ) , ne bir tek Okyanus ve ne de
553	2	hakkınız yok . Ben mi ? Malum , sıradandandan bir insan yavrusu olaraktan 4 numara miyop ve bir miktar da astigmat
554	2	kız . Sen kötü bir radyo gibi lambalarını patlatmışsın Kurtulmuşsun insan seslerinden , tarihten , Yeninin parazitimsi gürültüsü . Bana kedi
555	2	bastırdığı davetiye aracılığıyla tanıtmıştır . Fluxus sözcüğü , doğadaki ve insan yaşamındaki sürekliliği , değişimi ve yenilenmeyi , durağanlığa karşı koyuşu
556	2	sanat yapıtının satın alınabilen bir nesne ve sanatçının ayrıcalıklı bir insan olmadığını kanıtlamaya çalışırlar . Buna bağlı olarak da galerilerde sergilenebilir
557	2	en eski anlamına ; ilkel kültürlerde taşıdığı , bütün bir insan topluluğunu kapsayan anlamına geri döner . Sanatçı , eylem ve
558	2	koruma . Her şey bir değişim durumndadır . " Her insan sanatçıdır , " der Beuys . Bu da şu demektir
559	2	bakıma kendisidir . Ölümüyle birlikte tamamlanmış olan hayatıdır . Her insan sanatçıdır . O - kendi özgürlüğü noktasından - ilk elde
560	2	. Onlar sizin için güzel bir kent yaratacaklardır . Milyonlarca insan için , bir küçük azınlık tarafından yaratılan böyle bir kentin
561	2	beraberce ağlıyoruz . . ) Gözlerim şişince yok'luğa haykırmaktan , insan lar benden korkuyor ; ben sesimi , onlar insanlıklarını unuttuklarından
562	2	dünyaya yolculuk eder . Bu yok olan dünyada iki tür insan yaşam mücadelesi vermektedir : narin yapılı , güzel , neşeli
563	2	Velhasıl Eloi'ler mücadelelerle geçen milyonlarca yıldan sonra tükenmiş ve yorgun insan soyunun son temsilcileridirler . Peki ya Morlock'lar ... Onlar hiç
564	2	soyunun son temsilcileridirler . Peki ya Morlock'lar ... Onlar hiç insan olmamışlardı ki ... Zaman Makinesi'nden bir yıl sonra yayımlanmış ,
565	2	. Ha , şu kadın hakları , çevre hareketleri , insan nhakları gibi eğilimleri asla ve kesinlikle küçümsemiyorum ama kesinlikle akıl
566	2	olrak ilan edilmiş bir sorumluluk değildir . Bu sorumluluk , insan olarak varoluş biçiminin yüklediği bir erdem , bir büyüklük ,
567	2	bir erdem , bir büyüklük , bir bir sevinçliliktir . Insan olmaktır , çok insan , fazla insan olmaktır . Insanların
568	2	büyüklük , bir bir sevinçliliktir . Insan olmaktır , çok insan , fazla insan olmaktır . Insanların kalmadığı yerde fazla insanlara
569	2	bir sevinçliliktir . Insan olmaktır , çok insan , fazla insan olmaktır . Insanların kalmadığı yerde fazla insanlara ihtiyaç var ,
570	2	var , bunu hepimiz görüyoruz . Peki biz neden fazla insan olmayalım ? Tarihten bu yana olduğu gbi bunu yine bizim
571	2	mu ? İkinci sayı , giriş - çıkış yazıları Tedirgin insan halleri Özgürlük ve aşk da tutsaklığımız olabilir Ne 1 -
572	2	parayla bir milyon çocuğun ölümden kurtarılabileceğini bildiğimiz için ; savaşların insan kaynaklarını kurutabilmek için 15 Mayıs Dünya Vicdani Retçiler Günü etkinliklerinde
573	2	PATON , ile tartışacağız . Tartışmadan sonra Ret 1111 Savaşın insan kaynaklarını kurutun ! adlı belgesel kısa film gösterimi yapılacaktır .
574	2	bilinmez kendi ağaç evine zor kaçmıştın . Bir ekmeğe dört insan bir evin bu evde köpeğe bakamayız yasaklısı bir çocuğunun ağaç
575	2	... Barışı talep etmek , politik bir tercih değil , insan olmanın gereğidir ... Bu yüzden , savaşın sebepleri , gerekliliği
576	2	şımartır ve ortaya çıkartığı o tanımlana - maz kokuyu sunuverir insan - oğluna . İnsanın kendini , kendi ihtiyaçlarını algılayabilmesi için
577	2	evde de restorasyon sürmekte . Ancak , Türkiye'deki koruma politikaları insan ve yaşam gerçeğinden kopuk üretildiği için , mülk sahiplerinin evlerini
578	2	Bizim amacımız bu eylemsiz duruşu bir devinime sokmaktır . Bilinçsiz insan yoktur , insanlar doğruyu bildiği halde çıkarcı davranıyorlar . Sokaktaki
579	2	Araştırma Laboratuvarı Yöneticisi Dr. Paul Johnston , rapordaki bilimsel bulguların insan sağlığı ve çevre üzerindeki etkilerini anlattı . Rapor , geçen
580	2	çeşitli bölgelerine düzensiz olarak boşaltılması da olabilir . Çevreye ve insan sağlığına olan etkileri gözönüne alındığında , kirliliğin boyutlarına ve çevreye
581	2	Roma asillerinden intikam alıyorlardı . Bu duygunun etkisiyle heykeller , insan figürleri putperestlik sayılarak yok edildi . Buna rağmen çok sayıda
582	2	ve klorlu atıklar yakıldığında oluşurlar ve çevreye yayılırlar . KOKların insan sağlığı ve ekosistemdeki diğer canlılar üzerinde geniş ve yıkıcı etkileri
583	2	heyet gönderemediğini belirtmektedir . Bu durum Türk hükümetinin çevre ve insan sağlığına bakış açısını gayet net bir şekilde ortaya koymaktadır .
584	2	oluşan ordular barış için büyük bir tehdittir . Zorunlu askerlik insan kişiliğinin alçaltılmasına ve özgürlüğün yok edilmesine yol açar . Adaletsiz
585	2	dökmek için tasarlanmış bir eğitim , bireye , demokrasiye ve insan yaşamına saygıyı yerle bir eder . İnsanları yaşamlarından vaz geçmeye
586	2	. Biliminsanlarımızın Hindistan'ın başka bölgelerinde yürüttüğü araştırmalar da endüstriyel kirlenmenin insan sağlığına ne kadar ciddi bir tehdit oluşturduğunu gözler önüne sermiştir
587	2	Hükümet tarafından verilen garantilerin doğru olmadığı ve radyasyona maruz kalan insan sayısının ilk resmi belirlemelerdekinin 10 katı olduğu ortaya çıkarılmıştır .
588	2	an her hangi bir bilimsel açıklamaya girmeden yaşadığımız çağ ve insan açısından çökmekte olan küreselleşme rüyasından bahsedeceğim . Teknoloji ve çağı
589	2	. Teknoloji ve çağı hızla ilerlerken , küçük bir grup insan , milyonlar için yaşamı programlıyor . Aşırıcı derecede tembellikle karşı
590	2	yaşamı programlıyor . Aşırıcı derecede tembellikle karşı karşıya kalan yaratıcı insan gücü artık insan özgü duygusal üretimden çok uzakta .hayal kuramamaktan
591	2	Aşırıcı derecede tembellikle karşı karşıya kalan yaratıcı insan gücü artık insan özgü duygusal üretimden çok uzakta .hayal kuramamaktan bahsedersek bir gün
592	2	, bataklığa çevrilmeye çalışılan doğa , bu tüketim çağının geçmişi insan içindeki yok etme dürtüsüne dayansa da bu son dönem tüketim
593	2	çağının masum kurbanları değil mi ? Tatminsiz bir anlayış , insan ruhuna ait bu açmazları fanatik görüşlerle veya tüketim çılgınlığıyla dışa
594	2	kısa bir deneme yakmasının ardından Çevre Bakanlığı tesise çevreye ve insan sağlığına vereceği potansiyel zararlar nedeniyle işletme lisansı vermemiştir ( 1
595	2	konu üzerinde çalışmaktan caydırıldı . Yetkililerin kar yönelimli ticari yaklaşımının insan sağlığı ve çevreye ilişkin herhangi bir kaygıyı bastırdığı açıkça ortadadır
596	2	. Yani normaldeki deniz suyundan 1.000.000 kat daha yüksek ve insan besinleri için CEC standartları olan 600Bq / kg’dan da 1000
597	2	29 Ocak 1987’de Aral , ”Karadeniz’in suyunda ve deniz ürünlerinde insan sağlığını tehdit edecek bir radyasyon kirliliği yoktur açıklamasında bulundu .
598	2	Çalışma Raporunu basına açıkladı . Bu rapora göre , radyasyon insan sağlığını etkileyecek bir düzeyde değildir . Radyoaktif çaylar toplatılmıştır ,
599	2	dostudur ... muhterem çevreciler lütfen dinlesinler bir nükleer santral kazası insan öldürmez . Hatta radyasyon hastalığına sebep olmaz . Çernobil kazasında
600	2	kaynaklarını temiz teknolojilere yatırmak durumundadırlar . dedi . Antlaşma , insan ve çevre sağlığına potansiyel tehdit uyandıran maddeleri de içeren Tedbirli
601	2	içeren Tedbirli Yaklaşım Prensibi üzerine dayanmaktadır . Yani bir kimyasalın insan sağlığı üzerinde potansiyel tehdit oluşturduğu durumda yeterli bilimsel kanıtın o
602	2	Ister bir kavram , ister bir düşünce , ister bir insan olsun , hiç farketmez , birey için çok önemli anlamlar
603	2	anlamı var ? Canım sıkılıyor . Uyusam mı ? ) Insan sıradışına meyillidir . Olağanı , durağanı sevmez . En tutucu
604	2	için çok anlamlı olan şey - kavram , düşünce , insan ... - neyse , bir süre sonra ( ne kadar
605	2	? ) , o şey'e göre düşünmeye ve yaşamaya başlar insan . Göre'nin gelişitiği sürece birey hiç fark etmeyebilir ve hatta
606	2	sağlayamamıştır . Militer yapıların egemenliğini engelleyebilmek için bu yapıları besleyen insan kaynağının kesilmesini savunan anti - militaristler zorunlu askerliğe karşı vicdani
607	2	Çağdaş - demokratik toplumlarda belli bir eğitim seviyesinin üzerindeki her insan güncel yaşam içinde bu kavramlara sahipmiş gibi yaşar ; ancak
608	2	söyler : Savaşa karşı çıkmak politik bir eylem değil , insan olmaktan doğan bir taleptir . Bu talep toplumsal yaşamdan doğan
609	2	kitabın 88 ila 92 nci sahifeleri arasında yer alan Türkiye'nin Insan Hakları Panoraması başlıklı yazıda , halkı askerlik hizmetinden kaçınmaya sevk
610	2	davranış değildir . Çünkü Türkiye tarafından 18.5.1954 tarihinde onaylanan Avrupa Insan Hakları Sözleşmesinin 4 / 3 - b madde ve bendinde
611	2	atıkları sembolize eden variller yerleştirirken , atık yakmanın çevre ve insan sağlığı üzerindeki etkilerini ifade eden Azrail kıyafetine bürünmüş bir Greenpeace
612	2	Ankara'da Çevre Bakanlığı'nın önünde Çevre Bakanı Fevzi Aytekin atık yakmanın insan sağlığı üzerindeki korkunç etkilerini gayet iyi bildiği halde , tesise
613	2	etkilerini gayet iyi bildiği halde , tesise geçici izin vererek insan sağlığı ve çevrenin tehdit altında olmasına müsade ediyor . Fevzi
614	2	, ilk adım olarak İzmit atık yakma tesisini kapatmalı ve insan sağlığını ön planda tutmalıdır . dedi . Temuge'ye göre ,
615	2	, 1998 yılında , Çevre Bakanlığı İzmit Atık Yakma Tesisi'ne insan sağlığı ve çevre üzerindeki olumsuz etkileri nedeniyle işletme lisansı vermemişti
616	2	yayınlamıştı . Ancak Ağustos ayında yaşanan korkunç deprem felaketinin ardından insan sağlığını tehdit ettiği için kapatılan bu tesise hiç gerçekçi olmayan
617	2	hakkında DGM'ye suç duyurusunda bulundu . 1997 , 10 Aralık Insan Hakları Derneği Osman Murat Ülke'ye insan hakları ödülünü verdi .
618	2	1997 , 10 Aralık Insan Hakları Derneği Osman Murat Ülke'ye insan hakları ödülünü verdi . 1998 , 22 Ocak 29 Mayıs
619	2	kasıtlı ihmalle suçladı . Yatağan'ın zehirli dumanları bir kez daha insan yaşamını tehdit ederek yerleşim bölgesini kaplamıştır . Uluslararası çevre kuruluşu
620	2	beri hiçbir emisyon izni ya da önlem almaksızın Muğla yöresinde insan sağlığı , ormanlar ve tarımsal ürünler üzerinde korkunç etkilerine karşın
621	2	aşamasındaki kayıplar skandal boyutlara ulaşmıştır . Enerji Bakanlığı ve TEAŞ'ın insan yaşamını ve değerli ekosistemleri tehdit ederek yürüttükleri enerji uygulamaları ile
622	2	yol açan karbon dioksit gazı ve küllerdeki uranyumun yine de insan sağlığı ve çevre açısından ciddi bir tehdit oluşturmaya devam edeceğini
623	2	kesinlikle kabul edilir güvenli bir yöntem değildir . Sefa Sirmen insan sağlığı için bu kadar tehlikeli bir tesisi çalıştırmak için çabalamayı
624	2	arasında nasıl bir ilişki olabilir ? Faşist ideoloji , ki insan düşmanı olduğu açıktır , insanı insan yapana , sanata ,
625	2	Faşist ideoloji , ki insan düşmanı olduğu açıktır , insanı insan yapana , sanata , nasıl yaklaşır ? İnsanları gaz odalarına
626	2	yorumuna yer verelim : Goethe ; Bir Roma tiyatrosunun içindeki insan kitlesi kendini tek bir ruh içindeki bir bütünlük olarak hisseder
627	2	gibi şiddet olaylarının yanısıra , elbette kirlilik nedeniyle doğa ve insan sağlığına verilen zarar da geliyor . 20. yüzyılın ikinci yarısında
628	2	ve endüstriyel çıkarlar , istisnasız her durumda doğal dengelerin ve insan sağlığının hiçe sayılmasına yol açıyor . Biliminsanları son damla petrol
629	2	, Japon Hükümeti'nin sürüdürdüğü atık yakma çılgınlığı politikasının çevre ve insan sağlığına büyük zarar verdiğini belirtiyor . Cuma günü hakim karşısına
630	2	resmi suçlama olmadan sürekli gözaltında tutuluyorlar . Bu uygulama uluslararası insan hakları standartlarınca kabul edilemez . dedi . Greenpeace Akdeniz Ofisi
631	2	: Dünyada bir çok hükümet sanayicilerin desteği ile çevre ve insan sağlığına büyük zararlar veren atık yakma işlemini sürdürüyor . Türkiye'de
632	2	( 2 ) Greenpeace dört eylemcinin derhal serbest bırakılmalarını ve insan sağlığına zarar veren atık yakma işleminin bütün dünyada durdurulmasını talep
633	2	Yakma Tesisi geçtiğimiz yıl Greenpeace Kampanyası'nın ardından Çevre Bakanlığı tarafından insan sağlığına olan potansiyel tehdit nedeniyle kapatılmıştı . İzmit Belediyesine ait
634	2	Temuge Çevre Bakanı sanki alay eder gibi , daha önceden insan sağlığına tehdit uyandırdığı gerekçesi ile kapatılan İzmit Atık Yakma Tesisi'nin
635	2	taşıyan yazının sonunda şöyle denmekteydi : Bu durumda tesisin çalışması insan sağlığının ve çevrenin korunması amacıyla uygun görülmemektedir . Ağustos 1998
636	2	olmuş battaniye gibi atıkların bertarafı için Çevre Bakanlığı bugüne kadar insan ve çevre sağlığı için tehlikeli olduğu gerekçesi ile izin vermediği
637	2	dayandırılarak değiştirilmiş , nükleer enerjinin oluşturabileceği ve çok uzun yıllar insan sağlığına zarar verecek , nesillerin sakat doğmasına yol açacak kaza
638	2	gün biliniyor ... Konu : Yüzyıllar önce İstanbul göklerine ilk insan taşıyan roket ile çıkan Hasan Çelebi'nin günümüz bilim araştırmacılarının dikkatini
639	2	kültürü yaşamak istiyorsunuz ancak bu kez de o kültürü alacak insan yok elinizde . Çok az kesim arasında kitap okunuyor .
640	2	Hayatınızı gösteriyorsunuz çocuklara . Yetişkinler okur , kendini yetiştirmek isteyen insan okur diyorsunuz . Bütün öğretmenlerin aynı şeyi yaptığını düşünelim .
641	2	, ben solcuyum demişlerdi de ne olmuştu sanki . Binlerce insan boş yere ölmüştü . Medya bas bas bağırmaya başladı :
642	2	Binlerce atam bombasına denk radyoaktif madde içeren bu reaktörler bir insan hatası , bir hatalı gösterge veya vana , bir doğal
643	2	taşınmasına yol açan bu tehlikeli uygulamaya son verilmelidir . Mevcut insan - yapısı maddelerin en radyoaktif , en toksik ve en
644	2	kaza ve sızıntı olayı vardır . Teknik hataların yanısıra , insan hataları da göz ardı edilemeyen önemli etkenlerdir . Nükleer endüstri
645	2	Radyasyon gözle görülmez , hissedilmez . İşte bu nedenle sıradan insan , radyasyona maruz kalması durumunda bunun sonuçlarını gizlemeye yönelik resmi
646	2	Hiroşima and Nagazaki'ye atılan 2 atom bombası yüzünden yaklaşık 300,000 insan öldü . Meme ve akciğer kanserlerinin ortaya çıkmasının 20 yıl
647	2	6000 katıdır . Bir başka deyişle , tarihin başından beri insan kullanımına açık petrol , kömür , doğal gaz gibi fosil
648	2	kaynatmak için nükleer elektrik kullandığınızda : radyoaktif maddeleri doğa ve insan sağlığını tehlikeye atarak yer altından çıkartıyor , kirletici işlemlerden geçiriyor
649	2	Böylece , radyoaktif atıklar ortaya çıkmaz , elektrik üretim sürecinin insan sağlığı ve çevre üzerindeki diğer etkileri de en azla sınırlanır
650	2	İklim Değişikliği Paneli'nden aktardığı sonuçlarla son elli yılda gerçekleşen ısınmanın insan etkinliklerine bağlanabileceği konusunda bilimsel bulguların her geçen gün arttığını vurguladı
651	2	. Kaldı ki Greenpeace 1997 yılı baca gazı emisyonalarının da insan sağlığı için kabul edilemez olduğunu belirtmekte ve tüm atık yakma
652	2	işkenceden ölüme kadar amansızca uzanır… Klasik sabit kamera çekimleriyle Pasolini insan sapıklıklarının biçimlerini durağan ve iç karartıcı bir tonda inceleyerek keşfeder
653	2	bir biçimde incelerken , geçmişteki filmlerinde büyük bir başarıyla anlattığı insan ilişkilerine geri döner . Ama yönetmenin bildik temaları bu filmde
654	2	kararından işletmenin iyi niyeti ... diye başlayıp ...kamu yararının öncelikle insan yaşamı lehine değerlendirilmesi doğaldır diye sonuçlanan ibare aktarıldıktan sonra İyi
655	2	görmeme , ya da kendi istediği gibi görme dileğinde bir insan . Anne ise kocası ve çocukları arasında denge kurmaya çalışırken
656	2	miydi kardeşini ? Ve Habil Kabil’i öldürünce ilk kan bulaştı insan soyuna . Şu tekerleği bulan insanoğlu , düşünmese idi bulabilir
657	2	Bir üçüncü sayfa haberi . Ben daha çok bu öykünün insan ruhunda nasıl karşılıklar bulduğuyla ilgilendim . Nedenler yok . Nedenleri
658	2	Kendimi keşfetmek için film çekiyorum . Bütün bilimsel çabalara rağmen insan bence hala Dostoyevski’nin dediği gibi kocaman bir labirenttir . Benim
659	2	ve cesaretini göstermek . Herşeyi bilen ve çözebilen yetenekte bir insan düşüncesi empoze ediliyor . Oysa bütün hayat bilgimizin , insanlığın
660	2	da kötülükler çözümlenebilirdi . Bunların ilaçları niye üretilemiyor , çünkü insan kesinlikle karmaşanın ta kendisi ve bunu böyle kabul etmekten başka
661	2	, benim içinse çok doğal ve doğuştan kazanılmış temel bir insan hakkının , yanı düşünceyi ifade etme hakkının kullanılmasından dolayı ,
662	2	yarattığı değerlerin esiri oluyor . Bir kaç çalışkan ve akıllı insan ortaya çıkıyor ve sadece doğaya ait olan kaynakları pazarlıyor ,
663	2	ve bundan sonra da kimseye bir zarar vermek istemiyorum . insan öldürme ve şiddetin kurumsal varlığı olan orduya da bu yüzden
664	2	çağırıyorum . Timuçin Kızılay - Şiddet ve tahakküm karşıtı bir insan olarak ben kendim olabilmek için ; karşıma çıkan bu sorundan
665	2	konu hakkında biraz kafa yormaları . Ahmet Taner Kışlalı >> insan Kim olursa olsun , kime , neye inanırsa inansın sonuçta
666	2	olsun , kime , neye inanırsa inansın sonuçta o bir insan ... Hepimiz gibi , milyonlarca hücrenin arasından sıyrılıp , dünyaya
667	2	milyonlarca hücrenin arasından sıyrılıp , dünyaya gelmesi mucize olan bir insan Kimbilir neler yaşadı ? Kimbilir bugüne kadar ne zorluklarla karşılaştı
668	2	herşeyden önce bir insandı . . Hepimiz gibi ... Bir insan , başka bir insanın canına nasıl kıyabilir ? Hangi etkiler
669	2	kasıtlı ihmalle suçladı . Yatağan'ın zehirli dumanları bir kez daha insan yaşamını tehdit ederek yerleşim bölgesini kaplamıştır . Uluslararası çevre kuruluşu
670	2	beri hiçbir emisyon izni ya da önlem almaksızın Muğla yöresinde insan sağlığı , ormanlar ve tarımsal ürünler üzerinde korkunç etkilerine karşın
671	2	aşamasındaki kayıplar skandal boyutlara ulaşmıştır . Enerji Bakanlığı ve TEAŞ'ın insan yaşamını ve değerli ekosistemleri tehdit ederek yürüttükleri enerji uygulamaları ile
